TG Number,Frequency,Tone,Alpha Tag,Description,Tag,Category,Enable,Signal Detector,Squelch
1,155115000,103.5,Delta North,Delta-Waterville(North),EMS,Delta,true,false,-43
2,157485000,186.2,Delta South,Delta-Augusta(South),EMS,Delta,true,false,-43

